[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001951s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | INFO: Tag[ view_end ] --START--
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | INFO: Run ShowPageTrace Behavior [ RunTime:0.000468s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | INFO: Tag[ view_end ] --END-- [ RunTime:0.000525s ]
[ 2014-08-27T23:50:06+08:00 ] /v/admin.php/User/index | INFO: Tag[ route_check ] --START--
[ 2014-08-27T23:50:06+08:00 ] /v/admin.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.001293s ]
[ 2014-08-27T23:50:06+08:00 ] /v/admin.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001409s ]
[ 2014-08-27T23:50:06+08:00 ] /v/admin.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T23:50:06+08:00 ] /v/admin.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000923s ]
[ 2014-08-27T23:50:06+08:00 ] /v/admin.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001008s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.003240s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_user` LIMIT 1   [ RunTime:0.000192s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.003763s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | SQL: SELECT user.id AS id,user.`lock` AS `lock`,user.registime AS registime,userinfo.username AS username,userinfo.face50 AS face,userinfo.follow AS follow,userinfo.fans AS fans,userinfo.weibo AS weibo FROM hd_user user LEFT JOIN hd_userinfo userinfo ON user.id = userinfo.uid LIMIT 0,20   [ RunTime:0.000683s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_template ] --START--
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.004694s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004779s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Run ParseTemplate Behavior [ RunTime:0.024488s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024569s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_filter ] --START--
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Run ContentReplace Behavior [ RunTime:0.000706s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Run TokenBuild Behavior [ RunTime:0.000679s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000520s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000779s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002903s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_end ] --START--
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000759s ]
[ 2014-08-27T23:50:07+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000833s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Tag[ route_check ] --START--
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Run CheckRoute Behavior [ RunTime:0.000939s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Tag[ route_check ] --END-- [ RunTime:0.001044s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000792s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000867s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Tag[ view_template ] --START--
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Run LocationTemplate Behavior [ RunTime:0.000859s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Tag[ view_template ] --END-- [ RunTime:0.000948s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Tag[ view_parse ] --START--
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | NOTIC: [8] Undefined variable: user 959ab1844c07a1eb0c0ba81766ff4cab.php 第 39 行.
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Run ParseTemplate Behavior [ RunTime:0.041424s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Tag[ view_parse ] --END-- [ RunTime:0.041488s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Tag[ view_filter ] --START--
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Run ContentReplace Behavior [ RunTime:0.000485s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Run TokenBuild Behavior [ RunTime:0.000554s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000408s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Run ShowRuntime Behavior [ RunTime:0.000598s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002201s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Tag[ view_end ] --START--
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Run ShowPageTrace Behavior [ RunTime:0.000541s ]
[ 2014-08-27T23:50:22+08:00 ] /v/admin.php/User/sechUser | INFO: Tag[ view_end ] --END-- [ RunTime:0.000597s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Tag[ route_check ] --START--
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Run CheckRoute Behavior [ RunTime:0.000942s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001043s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000732s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000808s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | SQL: SHOW COLUMNS FROM `hd_admin` [ RunTime:0.003370s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | SQL: SELECT * FROM `hd_admin`  [ RunTime:0.000253s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Tag[ view_template ] --START--
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Run LocationTemplate Behavior [ RunTime:0.001174s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.001258s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Tag[ view_parse ] --START--
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Run ParseTemplate Behavior [ RunTime:0.035740s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035831s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Tag[ view_filter ] --START--
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Run ContentReplace Behavior [ RunTime:0.000698s ]
